,Name,HF-DFT-forward,HF-DFT-reverse,HF-DFT-reaction
0,rxn_33,52.838,75.027,-22.189
1,rxn_53,61.159,78.082,-16.923
2,rxn_83,52.244,70.568,-18.323
3,rxn_216,52.224,72.096,-19.872
4,rxn_310,49.876,74.264,-24.388
5,rxn_365,67.408,79.452,-12.043
6,rxn_632,55.218,76.874,-21.656
7,rxn_721,51.834,76.003,-24.169
8,rxn_745,51.612,43.604,8.008
9,rxn_769,58.157,46.72,11.438
10,rxn_853,52.958,46.134,6.824
11,rxn_1000,66.148,50.372,15.775
12,rxn_1011,71.662,48.161,23.501
13,rxn_1017,62.401,49.926,12.475
14,rxn_1093,59.151,47.834,11.317
15,rxn_1248,58.498,47.136,11.363
16,rxn_1424,57.244,47.919,9.325
17,rxn_1441,61.166,51.788,9.378
18,rxn_1463,49.711,69.349,-19.638
19,rxn_1466,45.705,66.071,-20.366
20,rxn_1469,46.995,66.086,-19.091
21,rxn_1479,58.36,65.003,-6.643
22,rxn_1480,52.857,62.78,-9.923
23,rxn_1495,48.193,66.621,-18.428
24,rxn_1536,46.798,62.218,-15.42
25,rxn_1606,48.746,65.589,-16.842
26,rxn_1708,50.77,65.021,-14.251
27,rxn_1779,48.473,62.671,-14.198
28,rxn_1886,55.782,68.858,-13.077
29,rxn_2260,47.03,68.168,-21.138
30,rxn_2270,47.439,65.177,-17.738
31,rxn_2310,52.296,61.411,-9.115
32,rxn_2326,59.993,64.679,-4.686
33,rxn_2334,48.405,67.769,-19.364
34,rxn_2468,59.728,62.328,-2.6
35,rxn_2482,47.074,65.497,-18.423
36,rxn_2517,56.907,62.512,-5.605
37,rxn_2530,49.62,66.108,-16.488
38,rxn_2672,47.027,67.178,-20.151
39,rxn_2720,44.442,64.542,-20.1
40,rxn_2759,50.877,67.559,-16.682
41,rxn_2760,45.616,65.95,-20.334
42,rxn_2972,58.605,68.057,-9.452
43,rxn_3030,43.088,70.679,-27.591
44,rxn_3225,43.515,69.987,-26.472
45,rxn_3483,51.919,65.956,-14.037
46,rxn_3536,46.327,66.884,-20.557
47,rxn_3759,-0.339,34.789,-35.128
48,rxn_3781,6.579,40.77,-34.191
49,rxn_4123,12.684,49.568,-36.884
50,rxn_4581,57.377,55.029,2.349
51,rxn_4652,24.872,51.109,-26.237
52,rxn_4937,41.649,45.239,-3.589
53,rxn_5047,33.238,54.988,-21.75
54,rxn_5129,29.725,53.841,-24.116
55,rxn_5245,60.743,57.331,3.411
56,rxn_5345,60.643,61.016,-0.373
57,rxn_5374,58.266,61.989,-3.723
58,rxn_5506,59.392,57.628,1.764
59,rxn_5581,55.54,69.953,-14.413
60,rxn_5582,42.664,49.433,-6.769
61,rxn_5616,47.673,54.339,-6.667
62,rxn_5653,49.883,61.486,-11.603
63,rxn_5748,47.317,73.406,-26.088
64,rxn_5756,52.25,70.347,-18.097
65,rxn_5854,50.611,64.383,-13.772
66,rxn_5956,58.009,79.625,-21.616
67,rxn_6105,59.104,64.626,-5.523
68,rxn_6178,61.153,82.536,-21.382
69,rxn_6180,48.2,55.255,-7.056
