,Name,LC-PBE-DFT-forward,LC-PBE-DFT-reverse,LC-PBE-DFT-reaction
0,rxn_33,18.393,76.084,-57.691
1,rxn_53,25.85,79.165,-53.315
2,rxn_83,14.651,66.276,-51.625
3,rxn_216,17.04,63.681,-46.641
4,rxn_310,16.891,76.278,-59.388
5,rxn_365,32.511,86.117,-53.606
6,rxn_632,19.079,74.634,-55.555
7,rxn_721,20.428,80.497,-60.07
8,rxn_745,21.66,42.306,-20.646
9,rxn_769,26.512,44.049,-17.537
10,rxn_853,23.181,44.124,-20.943
11,rxn_1000,34.742,48.453,-13.712
12,rxn_1011,35.082,47.268,-12.187
13,rxn_1017,29.296,47.208,-17.911
14,rxn_1093,25.328,47.282,-21.954
15,rxn_1248,25.649,45.366,-19.717
16,rxn_1424,23.362,47.191,-23.829
17,rxn_1441,30.234,49.672,-19.438
18,rxn_1463,12.504,67.8,-55.296
19,rxn_1466,8.888,67.617,-58.729
20,rxn_1469,12.992,71.379,-58.387
21,rxn_1479,23.75,74.571,-50.821
22,rxn_1480,16.433,67.225,-50.792
23,rxn_1495,13.74,72.371,-58.632
24,rxn_1536,15.545,67.071,-51.526
25,rxn_1606,18.194,70.749,-52.555
26,rxn_1708,19.244,69.91,-50.666
27,rxn_1779,17.125,67.594,-50.469
28,rxn_1886,22.658,73.952,-51.294
29,rxn_2260,14.507,74.177,-59.67
30,rxn_2270,12.865,69.778,-56.913
31,rxn_2310,22.098,72.567,-50.469
32,rxn_2326,24.874,72.63,-47.756
33,rxn_2334,15.977,73.046,-57.07
34,rxn_2468,25.047,70.565,-45.518
35,rxn_2482,14.843,71.046,-56.203
36,rxn_2517,23.715,71.619,-47.904
37,rxn_2530,17.018,72.607,-55.589
38,rxn_2672,14.364,72.335,-57.971
39,rxn_2720,10.706,69.654,-58.949
40,rxn_2759,15.714,72.608,-56.894
41,rxn_2760,12.11,71.064,-58.953
42,rxn_2972,26.66,63.265,-36.605
43,rxn_3030,12.081,61.9,-49.819
44,rxn_3225,14.062,62.847,-48.786
45,rxn_3483,20.175,58.065,-37.891
46,rxn_3536,18.942,59.789,-40.847
47,rxn_3759,-17.189,34.302,-51.491
48,rxn_3781,-11.184,40.297,-51.481
49,rxn_4123,-3.163,48.112,-51.274
50,rxn_4581,27.482,64.9,-37.418
51,rxn_4652,-3.509,55.116,-58.626
52,rxn_4937,7.971,48.831,-40.86
53,rxn_5047,4.374,57.871,-53.497
54,rxn_5129,1.522,56.549,-55.027
55,rxn_5245,50.263,50.454,-0.191
56,rxn_5345,49.575,52.322,-2.747
57,rxn_5374,47.823,51.892,-4.069
58,rxn_5506,47.727,51.002,-3.274
59,rxn_5581,46.031,61.986,-15.956
60,rxn_5582,40.652,49.967,-9.315
61,rxn_5616,43.656,53.446,-9.79
62,rxn_5653,44.457,56.68,-12.223
63,rxn_5748,40.704,64.975,-24.271
64,rxn_5756,45.834,62.92,-17.086
65,rxn_5854,44.967,57.9,-12.933
66,rxn_5956,54.527,74.026,-19.499
67,rxn_6105,51.929,61.797,-9.868
68,rxn_6178,55.167,75.292,-20.125
69,rxn_6180,40.626,51.045,-10.419
