,Name,B2GP-PLYP-DFT-forward,B2GP-PLYP-DFT-reverse,B2GP-PLYP-DFT-reaction
0,rxn_33,14.763,48.53,-33.767
1,rxn_53,22.973,52.766,-29.793
2,rxn_83,12.015,41.929,-29.914
3,rxn_216,15.299,41.053,-25.754
4,rxn_310,14.076,48.059,-33.983
5,rxn_365,28.953,57.076,-28.123
6,rxn_632,15.449,49.319,-33.87
7,rxn_721,18.335,52.811,-34.476
8,rxn_745,23.999,23.693,0.306
9,rxn_769,26.986,25.358,1.628
10,rxn_853,25.818,26.378,-0.56
11,rxn_1000,35.812,31.116,4.697
12,rxn_1011,36.443,29.047,7.396
13,rxn_1017,30.643,29.749,0.895
14,rxn_1093,27.397,28.641,-1.243
15,rxn_1248,27.831,27.242,0.589
16,rxn_1424,26.611,28.704,-2.094
17,rxn_1441,30.939,31.77,-0.832
18,rxn_1463,12.674,51.303,-38.629
19,rxn_1466,9.336,50.396,-41.06
20,rxn_1469,10.863,52.71,-41.847
21,rxn_1479,20.655,54.987,-34.332
22,rxn_1480,13.795,48.7,-34.906
23,rxn_1495,11.45,53.248,-41.798
24,rxn_1536,13.516,40.955,-27.44
25,rxn_1606,16.733,45.012,-28.279
26,rxn_1708,16.222,42.957,-26.735
27,rxn_1779,14.765,41.011,-26.245
28,rxn_1886,20.88,48.154,-27.274
29,rxn_2260,11.698,51.141,-39.444
30,rxn_2270,11.898,48.062,-36.164
31,rxn_2310,18.018,49.502,-31.484
32,rxn_2326,22.225,50.036,-27.811
33,rxn_2334,14.406,50.131,-35.725
34,rxn_2468,22.276,48.038,-25.762
35,rxn_2482,13.824,49.17,-35.346
36,rxn_2517,20.133,48.863,-28.73
37,rxn_2530,15.161,50.11,-34.95
38,rxn_2672,12.392,50.202,-37.81
39,rxn_2720,9.19,48.786,-39.596
40,rxn_2759,13.476,50.162,-36.686
41,rxn_2760,10.449,49.555,-39.107
42,rxn_2972,26.733,41.917,-15.184
43,rxn_3030,12.984,40.534,-27.55
44,rxn_3225,14.535,42.307,-27.773
45,rxn_3483,22.254,38.241,-15.987
46,rxn_3536,21.111,38.286,-17.175
47,rxn_3759,-5.664,23.823,-29.486
48,rxn_3781,-2.126,26.787,-28.913
49,rxn_4123,6.213,35.215,-29.002
50,rxn_4581,24.871,41.129,-16.257
51,rxn_4652,-3.289,34.894,-38.182
52,rxn_4937,8.087,27.594,-19.507
53,rxn_5047,3.549,37.636,-34.088
54,rxn_5129,0.602,33.534,-32.931
55,rxn_5245,32.173,33.225,-1.052
56,rxn_5345,33.236,36.957,-3.721
57,rxn_5374,32.208,35.418,-3.21
58,rxn_5506,30.982,34.639,-3.656
59,rxn_5581,29.318,44.07,-14.752
60,rxn_5582,22.202,31.623,-9.422
61,rxn_5616,26.294,35.424,-9.13
62,rxn_5653,27.522,38.717,-11.195
63,rxn_5748,23.242,47.055,-23.813
64,rxn_5756,28.892,45.535,-16.643
65,rxn_5854,27.138,39.505,-12.368
66,rxn_5956,36.859,56.636,-19.777
67,rxn_6105,34.681,43.821,-9.14
68,rxn_6178,35.571,53.857,-18.286
69,rxn_6180,24.318,34.1,-9.782
